supplySubSector,Ag_cereals,Ag_pasture,Ag_vegetables,Agriculture_all,Electricity_all,Electricity_Import,Livestock_all,Livestock_bulls,Livestock_calves,Livestock_cows,Livestock_heifers,Livestock_steers,W_SW_Upstream,Water_all,Ag_fruittrees,Ag_specialty,commercial,Electricity_Gas,Electricity_Hydro,Electricity_RefLiqDiesel,industrial,municipal,other,residential,downstream,losses,adjustedDemand,Ag_forest,Agriculture_adjusted,Electricity_adjusted,Livestock_adjusted,W_SW_Reservoir,W_SW_Runoff,Water_adjusted,export,supplySector,total,cap,capNew,capOrig,surplus,scenario,x,units,region,subRegion,param
Ag_cereals,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,490,Agriculture,490,,0,,,Policy,0,km2,Argentina,Corfo,param
Ag_pasture,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,742,Agriculture,742,,0,,,Policy,0,km2,Argentina,Corfo,param
Ag_vegetables,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,168,Agriculture,168,,0,,,Policy,0,km2,Argentina,Corfo,param
Agriculture_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,Agriculture,1400,1400,1400,0,0,Policy,0,km2,Argentina,Corfo,param
Electricity_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.123545,0,0,0,8.886225,0,25.390125,41.523715,0,0,0,0,0,0,0,0,0,0,0,Electricity,95.92361,95.92361,95.92361,0,0,Policy,0,GWh,Argentina,Corfo,param
Electricity_Import,,,,0,0,0,0,,,,,,0,0,,,20.123545,,,,8.886225,,25.390125,41.523715,0,0,0,0,0,0,0,0,0,0,,Electricity,95.92361,,0,,,Policy,0,GWh,Argentina,Corfo,param
Livestock_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262979,Livestock,262979,262979,262979,0,0,Policy,0,head,Argentina,Corfo,param
Livestock_bulls,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,5408,Livestock,5408,,0,,,Policy,0,head,Argentina,Corfo,param
Livestock_calves,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,45924,Livestock,45924,,0,,,Policy,0,head,Argentina,Corfo,param
Livestock_cows,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,127040,Livestock,127040,,0,,,Policy,0,head,Argentina,Corfo,param
Livestock_heifers,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,37136,Livestock,37136,,0,,,Policy,0,head,Argentina,Corfo,param
Livestock_steers,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,47471,Livestock,47471,,0,,,Policy,0,head,Argentina,Corfo,param
W_SW_Upstream,0.977680572431699,0.806558072345172,0.115661355223129,0,0,0,0,6.733e-05,0.000571634,0.002967,0.0008677,0.000590863,0,0,,,,,,,,0.00252,,,1.291570165,0,0,0,0,0,0,0,0,0,,Water,3.199054692,3.199054692,0,3.199054692,0,Policy,0,km3,Argentina,Corfo,param
Water_all,0.977680572431699,0.806558072345172,0.115661355223129,0,0,0,0,6.733e-05,0.000571634,0.002967,0.0008677,0.000590863,0,0,0,0,0,0,0,0,0,0.00252,0,0,1.291570165,0,0,0,0,0,0,0,0,0,0,Water,3.199054692,3.199054692,0,3.199054692,0,Policy,0,km3,Argentina,Corfo,param
Ag_pasture,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,306.11837,Agriculture,306.11837,,0,,,Policy,0,km2,Argentina,LaPampa_baja,param
Ag_specialty,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,64.0415,Agriculture,64.0415,,0,,,Policy,0,km2,Argentina,LaPampa_baja,param
Ag_vegetables,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,60.19901,Agriculture,60.19901,,0,,,Policy,0,km2,Argentina,LaPampa_baja,param
Agriculture_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,430.35888,Agriculture,430.35888,430.35888,430.35888,0,0,Policy,0,km2,Argentina,LaPampa_baja,param
Electricity_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.587401,0,0,0,0.118812,0,4.754263,4.064913,0,0,0,0,0,0,,0,0,0,0,Electricity,10.525389,10.525389,10.385389,0.140000000000001,0,Policy,0,GWh,Argentina,LaPampa_baja,param
Electricity_Import,,,,0,0,0,0,,,,,,0,0,,,1.439330691,,,,0.1077294,,4.310792704,3.685744205,0,0,0,0,0,0,,0,0,0,,Electricity,9.543597,,0,,,Policy,0,GWh,Argentina,LaPampa_baja,param
Electricity_RefLiqDiesel,,,,0,0,0,0,,,,,,0,0,,,0.148070309,,,,0.0110826,,0.443470296,0.379168795,0,0,0,0,0,0,,0,0,0,,Electricity,0.981792,0.981792,0.841792,0.14,0,Policy,0,GWh,Argentina,LaPampa_baja,param
W_SW_Upstream,,0.513533480187818,0.0639611079502324,0,0,0,0,,,,,,0,0,,0.0680437318619494,,,,1.49e-07,,0.00083,,,1.523843324,0,0,0,0,0,,0,0,0,0.0021,Water,2.172311793,2.172311793,0,2.172311793,0,Policy,0,km3,Argentina,LaPampa_baja,param
Water_all,0,0.513533480187818,0.0639611079502324,0,0,0,0,0,0,0,0,0,0,0,0,0.0680437318619494,0,0,0,1.49e-07,0,0.00083,0,0,1.523843324,0,0,0,0,0,,0,0,0,0.0021,Water,2.172311793,2.172311793,0,2.172311793,0,Policy,0,km3,Argentina,LaPampa_baja,param
Ag_cereals,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,28.5,Agriculture,28.5,,0,,,Policy,0,km2,Argentina,LaPampa_media,param
Ag_fruittrees,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,31.1,Agriculture,31.1,,0,,,Policy,0,km2,Argentina,LaPampa_media,param
Ag_pasture,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,13.2,Agriculture,13.2,,0,,,Policy,0,km2,Argentina,LaPampa_media,param
Ag_specialty,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,5.2,Agriculture,5.2,,0,,,Policy,0,km2,Argentina,LaPampa_media,param
Agriculture_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,78,Agriculture,78,78,78,0,0,Policy,0,km2,Argentina,LaPampa_media,param
Electricity_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19665,0,0,0,6.567185,0,4.568789,9.236426,0,0,0,0,0,0,,0,0,0,134.218,Electricity,157.78705,157.78705,97.78705,60,0,Policy,0,GWh,Argentina,LaPampa_media,param
Electricity_Hydro,,,,0,0,0,0,,,,,,0,0,,,3.19665,,,,6.567185,,4.568789,9.236426,0,0,0,0,0,0,,0,0,0,134.218,Electricity,157.78705,157.78705,97.78705,60,0,Policy,0,GWh,Argentina,LaPampa_media,param
W_SW_Reservoir,0.137722685165593,0.0347508461914602,,0,0,0,0,,,,,,0,0,0.0518560103249489,0.00867045831799788,,,,,,,,,0,0,0,0,0,0,,0,0,0,,Water,0.233,2.6,0,2.6,2.367,Policy,0,km3,Argentina,LaPampa_media,param
W_SW_Upstream,,,,0,0,0,0,,,,,,0,0,,,,,0,,,0.00166,,,2.262116793,0,0,0,0,0,,0,0,0,,Water,2.263776793,2.263776793,0,2.263776793,0,Policy,0,km3,Argentina,LaPampa_media,param
Water_all,0.137722685165593,0.0347508461914602,0,0,0,0,0,0,0,0,0,0,0,0,0.0518560103249489,0.00867045831799788,0,0,0,0,0,0.00166,0,0,2.262116793,0,0,0,0,0,,0,0,0,0,Water,2.496776793,4.863776793,0,4.863776793,2.367,Policy,0,km3,Argentina,LaPampa_media,param
Ag_fruittrees,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0.02,Agriculture,0.02,,0,,,Policy,0,km2,Argentina,Mendoza_alta_barrancas,param
Agriculture_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0.02,Agriculture,0.02,0.02,0.02,0,0,Policy,0,km2,Argentina,Mendoza_alta_barrancas,param
W_SW_Runoff,,,,0,0,0,0,,,,,,0,0,0.001,,,,,,,0,,,0.275125,0,0,0,0,,,0,0,0,,Water,0.276125,0.276125,0,0.276125,0,Policy,0,km3,Argentina,Mendoza_alta_barrancas,param
Water_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.275125,0,0,0,0,,,0,0,0,0,Water,0.276125,0.276125,0,0.276125,0,Policy,0,km3,Argentina,Mendoza_alta_barrancas,param
Electricity_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.808592,0,0,0,23.004598004,0,11.736356004,23.828639002,0,0,0,0,,0,,0,0,0,0,Electricity,65.37818501,65.37818501,65.08218501,0.296000000000007,0,Policy,0,GWh,Argentina,Mendoza_alta_riogrande,param
Electricity_Import,,,,0,0,0,0,,,,,,0,0,,,6.592415931,,,,22.27419096,,11.36372106,23.07206826,0,0,0,0,,0,,0,0,0,,Electricity,63.302396211,,0,,,Policy,0,GWh,Argentina,Mendoza_alta_riogrande,param
Electricity_RefLiqDiesel,,,,0,0,0,0,,,,,,0,0,,,0.216176069,,,,0.730407044,,0.372634944,0.756570742,0,0,0,0,,0,,0,0,0,,Electricity,2.075788799,2.075788799,1.779788799,0.296,0,Policy,0,GWh,Argentina,Mendoza_alta_riogrande,param
W_SW_Runoff,,,,0,0,0,0,,,,,,0,0,,,,,,3.14e-07,,0,,,3.502899686,0,0,0,,0,,0,0,0,,Water,3.5029,3.5029,0,3.5029,0,Policy,0,km3,Argentina,Mendoza_alta_riogrande,param
Water_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14e-07,0,0,0,0,3.502899686,0,0,0,,0,,0,0,0,0,Water,3.5029,3.5029,0,3.5029,0,Policy,0,km3,Argentina,Mendoza_alta_riogrande,param
W_SW_Upstream,,,,0,0,0,0,,,,,,0,0,,,,,,,,0.0012,,,2.297519843,0,0,0,,,,0,0,0,,Water,2.298719843,2.298719843,0,2.298719843,0,Policy,0,km3,Argentina,Mendoza_media,param
Water_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0,0,2.297519843,0,0,0,,,,0,0,0,0,Water,2.298719843,2.298719843,0,2.298719843,0,Policy,0,km3,Argentina,Mendoza_media,param
Ag_forest,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0.15,Agriculture,0.15,,0,,,Policy,0,km2,Argentina,Neuquen_alta_barrancas,param
Ag_pasture,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0.53,Agriculture,0.53,,0,,,Policy,0,km2,Argentina,Neuquen_alta_barrancas,param
Agriculture_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.68,Agriculture,0.68,0.68,0.68,0,0,Policy,0,km2,Argentina,Neuquen_alta_barrancas,param
Electricity_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.477967,7.46025,0,0,0,0,0,0,,0,0,0,0,Electricity,12.938217,12.938217,12.938217,0,0,Policy,0,GWh,Argentina,Neuquen_alta_barrancas,param
Electricity_Import,,,,0,0,0,0,,,,,,0,0,,,0,,,,0,,5.477967,7.46025,0,0,0,0,0,0,,0,0,0,,Electricity,12.938217,,0,,,Policy,0,GWh,Argentina,Neuquen_alta_barrancas,param
W_SW_Runoff,,0.0087,,0,0,0,0,,,,,,0,0,,,,,,,,0.00026,,,0.819415,0,0,0,0,0,,0,0,0,,Water,0.828375,0.828375,0,0.828375,0,Policy,0,km3,Argentina,Neuquen_alta_barrancas,param
Water_all,0,0.0087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026,0,0,0.819415,0,0,0,0,0,,0,0,0,0,Water,0.828375,0.828375,0,0.828375,0,Policy,0,km3,Argentina,Neuquen_alta_barrancas,param
Ag_cereals,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0.2,Agriculture,0.2,,0,,,Policy,0,km2,Argentina,Neuquen_media,param
Ag_fruittrees,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0.06,Agriculture,0.06,,0,,,Policy,0,km2,Argentina,Neuquen_media,param
Ag_pasture,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,6.22,Agriculture,6.22,,0,,,Policy,0,km2,Argentina,Neuquen_media,param
Ag_vegetables,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0.02,Agriculture,0.02,,0,,,Policy,0,km2,Argentina,Neuquen_media,param
Agriculture_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,6.5,Agriculture,6.5,6.5,6.5,0,0,Policy,0,km2,Argentina,Neuquen_media,param
Electricity_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533.7402,0,105.082112,57.470153,0,0,0,0,0,0,,0,0,0,4.216127,Electricity,700.508592,700.508592,600.618592,99.89,0,Policy,0,GWh,Argentina,Neuquen_media,param
Electricity_Gas,,,,0,0,0,0,,,,,,0,0,,,0,,,,362.943336,,71.45583616,39.07970404,0,0,0,0,0,0,,0,0,0,2.86696636,Electricity,476.34584256,476.34584256,408.84584256,67.5,0,Policy,0,GWh,Argentina,Neuquen_media,param
Electricity_RefLiqDiesel,,,,0,0,0,0,,,,,,0,0,,,0,,,,170.796864,,33.62627584,18.39044896,0,0,0,0,0,0,,0,0,0,1.34916064,Electricity,224.16274944,224.16274944,191.77274944,32.39,-2.8421709430404e-14,Policy,0,GWh,Argentina,Neuquen_media,param
W_SW_Upstream,0.00362810703064473,0.0614711461823097,0.000125186696761403,0,0,0,0,,,,,,0,0,0.000375560090284209,,,7.17e-05,,3.44e-05,,0.00298,,,2.230033743,0,0,0,0,0,,0,0,0,,Water,2.298719843,2.298719843,0,2.298719843,0,Policy,0,km3,Argentina,Neuquen_media,param
Water_all,0.00362810703064473,0.0614711461823097,0.000125186696761403,0,0,0,0,0,0,0,0,0,0,0,0.000375560090284209,0,0,7.17e-05,0,3.44e-05,0,0.00298,0,0,2.230033743,0,0,0,0,0,,0,0,0,0,Water,2.298719843,2.298719843,0,2.298719843,0,Policy,0,km3,Argentina,Neuquen_media,param
Ag_cereals,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,36.42475,Agriculture,36.42475,,0,,,Policy,0,km2,Argentina,RioNegro_baja,param
Ag_fruittrees,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,34.6815,Agriculture,34.6815,,0,,,Policy,0,km2,Argentina,RioNegro_baja,param
Ag_pasture,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,20.09325,Agriculture,20.09325,,0,,,Policy,0,km2,Argentina,RioNegro_baja,param
Ag_vegetables,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,11.1935,Agriculture,11.1935,,0,,,Policy,0,km2,Argentina,RioNegro_baja,param
Agriculture_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,102.393,Agriculture,102.393,102.393,102.393,0,0,Policy,0,km2,Argentina,RioNegro_baja,param
Electricity_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.835906,0,0,0,24.013419,0,24.52153,36.956574,0,0,0,0,0,0,,0,0,0,0,Electricity,106.327429,106.327429,106.327429,0,0,Policy,0,GWh,Argentina,RioNegro_baja,param
Electricity_Import,,,,0,0,0,0,,,,,,0,0,,,20.835906,,,,24.013419,,24.52153,36.956574,0,0,0,0,0,0,,0,0,0,,Electricity,106.327429,,0,,,Policy,0,GWh,Argentina,RioNegro_baja,param
W_SW_Upstream,0.285287136030541,0.0857366734003935,0.0302502941988521,0,0,0,0,,,,,,0,0,0.0937263213702139,,,,,,,0.0021,,,1.675211368,0,0,0,0,0,,0,0,0,,Water,2.172311793,2.172311793,0,2.172311793,0,Policy,0,km3,Argentina,RioNegro_baja,param
Water_all,0.285287136030541,0.0857366734003935,0.0302502941988521,0,0,0,0,0,0,0,0,0,0,0,0.0937263213702139,0,0,0,0,0,0,0.0021,0,0,1.675211368,0,0,0,0,0,,0,0,0,0,Water,2.172311793,2.172311793,0,2.172311793,0,Policy,0,km3,Argentina,RioNegro_baja,param
Ag_cereals,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0.6,Agriculture,0.6,,0,,,Policy,0,km2,Argentina,RioNegro_media,param
Ag_forest,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0.63,Agriculture,0.63,,0,,,Policy,0,km2,Argentina,RioNegro_media,param
Ag_fruittrees,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,1.5,Agriculture,1.5,,0,,,Policy,0,km2,Argentina,RioNegro_media,param
Ag_pasture,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,22.25,Agriculture,22.25,,0,,,Policy,0,km2,Argentina,RioNegro_media,param
Ag_specialty,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0.62,Agriculture,0.62,,0,,,Policy,0,km2,Argentina,RioNegro_media,param
Agriculture_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,25.6,Agriculture,25.6,25.6,25.6,0,0,Policy,0,km2,Argentina,RioNegro_media,param
Electricity_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.85332975,0,0,0,500.39769527,0,133.63556583,270.82852635,0,0,0,0,0,0,,0,0,0,0,Electricity,1042.7151172,1042.7151172,1042.7151172,0,0,Policy,0,GWh,Argentina,RioNegro_media,param
Electricity_Hydro,,,,0,0,0,0,,,,,,0,0,,,20.86054075,,,,75.72226607,,20.22229113,40.98290205,0,0,0,0,0,0,,0,0,0,,Electricity,157.788,,0,,,Policy,0,GWh,Argentina,RioNegro_media,param
Electricity_Import,,,,0,0,0,0,,,,,,0,0,,,116.992789,,,,424.6754292,,113.4132747,229.8456243,0,0,0,0,0,0,,0,0,0,,Electricity,884.9271172,,0,,,Policy,0,GWh,Argentina,RioNegro_media,param
W_SW_Upstream,0.0079609759473887,0.160833276033615,,0,0,0,0,,,,,,0,0,0.00686727454174271,0.00283847347725365,,,,,,0.00277,,,2.082506793,0,0,0,0,0,,0,0,0,,Water,2.263776793,2.263776793,0,2.263776793,0,Policy,0,km3,Argentina,RioNegro_media,param
Water_all,0.0079609759473887,0.160833276033615,0,0,0,0,0,0,0,0,0,0,0,0,0.00686727454174271,0.00283847347725365,0,0,0,0,0,0.00277,0,0,2.082506793,0,0,0,0,0,,0,0,0,0,Water,2.263776793,2.263776793,0,2.263776793,0,Policy,0,km3,Argentina,RioNegro_media,param
